Deutsch;Grundform;SimplePast
aufwachen;wake up;woke up
denken, glauben;think;thought
"machen; herstellen";make;made
"nehmen; bringen";take;took
sagen;say;said
schwimmen;swim;swam
sehen;see;saw
"sitzen; sich setzen";sit;sat
schreiben;write;wrote
"wissen; kennen";know;knew
laufen, rennen;run;ran
schicken, senden;send;sent
singen;sing;sang
gewinnen;win;won
(sich) treffen;meet;met
legen, stellen;put;put
lesen;read;read
erzählen, berichten;tell;told
Rad fahren;ride a bike;rode a bike
verkaufen;sell;sold
sprechen;speak;spoke
verstehen;understand;understood
tragen (Kleidung);wear;wore
sein;be;was, were
werden;become;became
beginnen, anfangen;begin;began
beißen;bite;bit
etwas auspusten, ausblasen;blow sth. out;blew
"brechen; zerbrechen";break;broke
bringen;bring;brought
bauen;build;build
kaufen;buy;bought
fangen;catch;caught
aussuchen, (aus)wählen;choose;chose
kommen;come;came
kosten;cost;cost
schneiden;cut;cut
tun, machen;do;did
zeichnen;draw;drew
(mit dem Auto) fahren;drive;drove
trinken;drink;drank
essen;eat;ate
fallen;fall;fell
füttern;feed;fed
"fühlen; sich fühlen";feel;felt
(be)kämpfen;fight;fought
finden;find;found
fliegen;fly;flew
vergessen;forget;forgot
"bekommen; werden; gelangen, (hin)kommen";get;got
geben;give;gave
gehen;go;went
anbauen, anpflanzen;grow;grew
hängen;hang;hung
haben;have;had
hören;hear;haerd
"verstecken; sich verstecken";hide;hid
schlagen;hit;hit
halten;hold;held
"schmerzen, wehtun; verletzen";hurt;hurt
"verlassen; zutücklassen ";leave;left
lassen;let;let
liegen;lie;lay
